;;NEW COTY;;;;;
"Ref 
Fournisseur ";Ref SAP ; DESIGNATION ;"SIZE 
ML";"Pre
Pack";DFRRP (EUR);Domestic RRP (EUR);Ean Codes
;;;;;;;
;;;;;;;
;; SPECIAL PRICE OFFER - 30% ;;;;;
;;;;;;;
;; Boss Jour Lumineuse - Eau de Parfum ;;;;;
82428875;82428875; BOSS NUIT EDP   ;50;24;61,6;77;7,37053E+11
82445021;82428876; BOSS NUIT EDP   ;75;24;79,2;99;7,37053E+11
;;;;;;;
;;Boss Nuit Intense - Eau de parfum;;;;;
82446506;82446506;BOSS NUIT INTENSE EDP;30;24;46,4;58;7,37053E+11
82443593;82443593;BOSS NUIT INTENSE EDP;50;24;63,2;79;7,37053E+11
82443594;82443594;BOSS NUIT INTENSE EDP;75;24;79,2;99;7,37053E+11
;;;;;;;
;; BOSS FEMME ;;;;;
;;;;;;;
;; Eau de parfum ;;;;;
82451513;9101; BOSS FEMME EDP  ;50;27;56;70;7,37052E+11
82451514;9100; BOSS FEMME EDP  ;75;18;68;85;7,37052E+11
;;;;;;;
;; HUGO WOMAN ;;;;;
;;;;;;;
;; Hugo Woman Extrème - Eau de Parfum ;;;;;
82459409;82454633;HUGO WOMAN EXTREME EDP VAPO ;30;45;40;50;7,37053E+11
82459410;82454634;HUGO WOMAN EXTREME EDP VAPO ;50;36;58,4;73;7,37053E+11
82461722;82454635;HUGO WOMAN EXTREME EDP VAPO ;75;24;74,4;93;7,37053E+11
;;;;;;;
;; Hugo Woman - Eau de Parfum ;;;;;
82448804;82448804;HUGO WOMAN EDP VAPO ;30;45;37,6;47;7,37053E+11
82448805;82448805;HUGO WOMAN EDP VAPO;50;36;54,4;68;7,37053E+11
82448806;82448806;HUGO WOMAN EDP VAPO ;75;24;68;85;7,37053E+11
;;;;;;;
;; Hugo Deep Red - Eau de parfum ;;;;;
82425303;9280; HUGO DEEP RED EDP         ;50;27;48,8;61;7,37053E+11
82445010;9281;HUGO DEEP RED EDP         ;90;24;64;80;7,37053E+11
80968357;9285;HUGO DEEP RED SHOWER GEL    ;150;36;18,4;23;7,37053E+11
;;;;;;;
;; BOSS WOMAN ;;;;;
;;;;;;;
6005597;9240; BOSS WOMAN EDP  ;50;21;48;60;7,37052E+11
6005798;9241; BOSS WOMAN EDP  ;90;24;60,8;76;7,37052E+11
;;;;;;;
;; HUGO ORANGE ;;;;;
;;;;;;;
;;Boss Orange - Eau de parfum;;;;;
82455635;82435222; BOSS ORANGE WOMAN EDP ;50;36;58,4;73;7,37053E+11
;;;;;;;
;;Boss Orange - Eau de toilette;;;;;
81117891;81117891; BOSS ORANGE WOMAN EDT  ;30;;38,4;48;7,37052E+11
;;;;;;;
;; Boss Orange Sunset - Eau de toilette ;;;;;
82419392;82419392;BOSS ORANGE SUNSET EDT ;50;36;49,6;62;7,37052E+11
;;;;;;;
;; HUGO XX ;;;;;
;;;;;;;
;;Eau de toilette;;;;;
82445227;9390;HUGO XX EDT ;100;24;60,8;76;7,37052E+11
;;;;;;;
;;MEN FRAGRANCES ;;;;;
;;;;;;;
;; BOSS THE SCENT  ;;;;;
;;;;;;;
;; Boss The Scent - Eau de toilette ;;;;;
82465675;82453688;BOSS THE SCENT EDT VAPO ;50;20;56;70;7,37053E+11
82465672;82453689;BOSS THE SCENT EDT VAPO ;100;12;76;95;7,37053E+11
82461573;82453691;BOSS THE SCENT EDT VAPO ;200;15;101,6;127;7,37053E+11
82454873;82454873;BOSS THE SCENT DEO SPRAY ;150;;20,4;25,5;7,37053E+11
82454899;82454899;BOSS THE SCENT DEO STICK ;75;;20,42;24,5;7,37053E+11
;;;;;;;
